,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,1xTYy3K3hiTcoZfoD7culn,Say You Want Me - Single Version,Say You Want Me,Masego,2022-11-04,61,196494,0.884,0.19,0.658,0.00164,0.103,0.502,-5.94,0.134,112.978,0,4
1,16NmkvLDSNYn7uYjXclzL6,SHAME,SHAME,tommy.,2022-08-12,29,177430,0.678,0.123,0.616,0.0,0.393,0.177,-6.109,0.0676,135.93,4,4
2,6pDgAsrCF7ao5wUezfIdPW,M B,M B,BalconZone,2023-02-28,19,173120,0.823,0.053,0.582,0.629,0.109,0.722,-7.981,0.057,121.989,1,4
3,12KdnoiOLbpQDLcV3D94U8,Falling Skies,Falling Skies,Unknownwriter 21,2022-11-28,5,195157,0.638,0.328,0.561,0.27,0.0987,0.595,-11.751,0.0694,144.05,11,4
4,3d2vIAQpuFb8WKHNwGPhTZ,Can't Believe,Can't Believe,Anweezy,2023-03-10,24,171416,0.781,0.214,0.642,0.0,0.0984,0.421,-8.564,0.114,112.034,0,4
5,2F3YWZoHV2c0NDvB2e5jMo,Arcane 17,Best of 2003 - 2010,Plexus Solaire,2012-02-24,13,292040,0.353,0.143,0.77,6.97e-06,0.152,0.206,-5.892,0.0308,169.06,4,4
6,3T27JFvKbp3btufldaKOUU,Bando Diaries,YPSZN3,PsychoYP,2022-11-02,43,158298,0.734,0.597,0.77,0.0,0.321,0.813,-6.426,0.312,144.315,1,4
7,2PZlJEj06ZZZAe13OdHM22,Oha,Crave,SYEMCA,2022-05-26,24,192947,0.472,0.404,0.454,4.92e-06,0.109,0.412,-8.185,0.403,59.926,8,4
8,0LhzKZskzBKvDCxke0oJ7p,Sober,Sober,Alex Kate,2023-02-24,30,155000,0.639,0.00458,0.504,0.000125,0.109,0.113,-9.1,0.0299,120.019,7,4
9,7wa9yquHlwrahVaGUgQ41M,dreams,dreams,seek lavender,2023-03-03,29,166857,0.664,0.649,0.505,3.1e-05,0.112,0.182,-9.344,0.0253,105.047,5,4
10,23byIJut1JzDCRR2jnZBuM,Chalequeo,Convulsion,Gasper Mc,2014,19,191216,0.685,0.549,0.819,4.56e-05,0.223,0.666,-7.101,0.0428,91.975,4,4
11,0ujKCRrUn3j0e6bDZQ0TgI,We Share A Sky,We Share A Sky,Charlotte Snedden,2023-02-20,18,236435,0.635,0.109,0.703,3.06e-05,0.0825,0.548,-5.933,0.0348,100.968,0,4
12,4jdVRgBqyGP0nUpcah6ya5,I Luv U Baby - Phunk Investigation & Hinca Remix,I Luv U Baby (Phunk Investigation & Hinca Remix),Terry Jee,2023-02-24,21,253228,0.639,0.0084,0.973,0.00261,0.507,0.926,-5.786,0.0539,126.982,10,4
13,1ZEqs7R20EB0tBPC7O23GT,Tripping on a Raft with Girls - Greenpoint Version,Tripping on a Raft with Girls (Greenpoint Version),Rue Snider,2023-03-03,22,197256,0.456,0.869,0.509,0.392,0.18,0.24,-9.254,0.0356,119.006,4,4
14,5gRslx9ORG3Au16BcR2Df5,Zumba (feat. Yomel El Meloso & Tivi Gunz),Zumba (feat. Yomel El Meloso & Tivi Gunz),Luigui Bleand,2023-03-03,50,183066,0.864,0.186,0.821,0.00283,0.062,0.947,-4.476,0.0646,116.026,10,4
15,7q83voPrRuoNXwB9HV8Lp1,Ballerina,Even if the sky is grey,Rio Glacier,2021-11-26,38,217583,0.597,0.697,0.285,0.341,0.0903,0.186,-17.266,0.0262,96.765,1,4
16,0iSCIwVaBZBFSMNQs3t7PF,Boy Joy,Boy Joy,Occurrence,2021-08-03,38,202242,0.676,0.219,0.343,0.0398,0.0788,0.402,-10.48,0.209,161.927,1,4
17,7COhclyOUHfDZ5dBr72I99,Mumbai Eyes,Mumbai Eyes,Yung Muthers,2023-02-28,41,228923,0.701,0.00304,0.775,0.0657,0.12,0.388,-6.229,0.0884,129.999,10,4
18,11oYbQpgSwygHuo5ii4TZO,broken roads,broken roads,Loren Aronov,2023-02-24,35,174130,0.505,0.769,0.442,0.000238,0.14,0.397,-6.282,0.04,183.503,5,4
19,2Mjf4v1fMlrAuHop0Ut9we,Didn't Say Goodbye,Didn't Say Goodbye,Hillbilly Hippies,2022-04-19,28,166994,0.583,0.0408,0.81,0.0,0.0839,0.762,-6.827,0.0476,130.073,4,4
20,6o4VjJKdhXhgzegcf6CQWL,One Night Man,One Night Man,Luke Deuce,2022-12-14,25,152921,0.448,0.162,0.798,0.0,0.132,0.853,-7.061,0.0521,154.961,9,4
21,76XgtBGzJ8UydRnzaDOpqV,Questions,Questions,Ashley Hess,2023-02-24,30,164558,0.621,0.29,0.447,5.91e-06,0.21,0.603,-11.644,0.183,135.624,5,4
22,5q3b86vdmn3itBhsAPHMfd,Lo Prieto,Lo Prieto,Luigui Bleand,2022-09-02,57,184625,0.767,0.527,0.848,6.17e-06,0.148,0.848,-1.135,0.216,93.995,5,4
23,05I7jRJLZWfHgnuv2w7f75,Mueve Eso,Mueve Eso,La Perversa,2023-01-27,57,142862,0.886,0.145,0.749,0.00146,0.139,0.729,-2.312,0.0627,130.008,11,4
