,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),Elton John,2021-08-13,83,202735,0.796,0.034,0.798,4.19e-05,0.0952,0.942,-6.312,0.0317,116.032,1,4
1,39JofJHEtg8I4fSyo7Imft,B.O.T.A. (Baddest Of Them All) - Edit,B.O.T.A. (Baddest Of Them All),Eliza Rose,2022-08-12,80,226626,0.736,0.164,0.906,0.585,0.106,0.698,-7.589,0.048,137.001,0,4
2,1bgKMxPQU7JIZEhNsM1vFs,Words (feat. Zara Larsson),Words (feat. Zara Larsson),Alesso,2022-04-22,79,142677,0.739,0.0245,0.586,0.000252,0.308,0.444,-5.079,0.0472,124.026,10,4
3,7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),Alok,2022-06-17,79,165752,0.687,0.0112,0.818,0.0,0.248,0.886,-4.221,0.0778,125.952,0,4
4,40SBS57su9xLiE1WqkXOVr,Afraid To Feel,Afraid To Feel,LF SYSTEM,2022-05-02,78,177524,0.578,0.0166,0.912,0.00362,0.273,0.68,-3.929,0.114,127.87,1,4
5,1RF02Cf80mTaeNXG2P2boR,21 Reasons (feat. Ella Henderson),21 Reasons (feat. Ella Henderson),Nathan Dawe,2022-04-29,78,155253,0.621,0.0165,0.785,5.92e-06,0.0512,0.779,-4.499,0.11,123.96,6,4
6,3sa06xVNmLLYIxdNNmVQN8,Where Did You Go? (feat. MNEK),Where Did You Go (feat. MNEK),Jax Jones,2022-02-04,77,177689,0.763,0.182,0.782,7.08e-06,0.293,0.502,-4.541,0.0346,127.034,7,4
7,2cSdAkzAf2T4j4aLvx4LLz,Baby Girl,Baby Girl,Disco Lines,2022-06-15,75,111074,0.73,0.0921,0.907,0.114,0.23,0.249,-3.72,0.0606,120.968,2,4
8,3nEHrvNNtgLv9rneTAYVr4,Heaven Takes You Home (feat. Connie Constance),Paradise Again,Swedish House Mafia,2022-04-15,75,214071,0.665,0.0124,0.738,0.00598,0.0923,0.0389,-5.931,0.0379,125.037,0,4
9,3JlHRjPt2TNB9h7VFf0im2,Weekends,Weekends,Jonas Blue,2023-02-03,73,127003,0.571,0.0337,0.937,3.71e-05,0.212,0.607,-3.365,0.033,148.979,6,4
10,21H0pUV2uPIPcFnFhgTBjo,Woke Up in Love,Woke Up in Love,Kygo,2022-09-09,72,216873,0.643,0.225,0.585,0.0,0.0927,0.188,-5.994,0.0369,106.015,2,4
11,0JpEMzTHbt2zBIXrntrXzG,Young Right Now,Young Right Now,Robin Schulz,2021-11-12,70,186140,0.539,0.0129,0.708,0.0,0.14,0.381,-6.189,0.0976,123.039,5,4
12,4qtdkdTY1t3RmlmSbWykzR,Stay the Night,Stay the Night,Sigala,2022-05-20,70,171954,0.636,0.177,0.936,0.0,0.0879,0.415,-2.65,0.0729,124.034,7,4
13,0vR2rIVORmgeKiGIgNT0fV,By Your Side (feat. Tom Grennan),By Your Side (feat. Tom Grennan),Calvin Harris,2021-06-04,70,189671,0.733,0.0514,0.96,0.00199,0.287,0.811,-3.597,0.0295,124.01,7,4
14,2LxdNADWier3MKTei8FbOY,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),Oliver Heldens,2022-05-06,69,157205,0.686,0.0577,0.892,7.11e-06,0.0838,0.752,-3.186,0.0498,126.03,10,4
15,1GL7vwDnPqCnJ2xGNxNLwG,These Nights,These Nights,Loud Luxury,2022-07-08,68,132417,0.643,0.00444,0.714,2.85e-06,0.146,0.205,-5.504,0.0486,120.027,2,4
16,3LEgGAl9zLcQWGTp7ptqtQ,Don’t Wake Me Up,Don’t Wake Me Up,Jonas Blue,2022-01-07,72,188894,0.621,0.222,0.747,0.000194,0.147,0.426,-5.084,0.0337,124.015,11,4
17,6oYXbji1rn7U6bFuNYekpQ,Run,Run,Becky Hill,2022-02-18,68,188731,0.601,0.0313,0.879,0.0,0.0793,0.589,-2.673,0.0353,124.013,2,4
18,4iAADGCKIR9GkLGvAHfZUS,Beat Goes On (Rhythm to the Brain),Beat Goes On (Rhythm to the Brain),Campbell,2022-10-07,66,133212,0.821,0.00563,0.781,0.0191,0.0403,0.434,-4.465,0.0397,137.017,0,4
19,102rhgJ5PEFt62e0PumSF2,Shadow,Shadow,Syn Cole,2022-08-26,66,166572,0.786,0.00519,0.718,0.000977,0.127,0.525,-6.292,0.04,123.951,0,4
20,4RAR8g8fZNB106ezUurnE0,Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),Kygo,2022-02-25,71,215203,0.75,0.293,0.797,0.0,0.392,0.523,-4.826,0.118,105.949,0,4
21,6bp0sJ0l3Ab3ZU0aktsYCf,Sun Will Shine,Sun Will Shine,Robin Schulz,2022-07-29,67,201700,0.534,0.00633,0.714,0.0,0.0879,0.415,-6.347,0.0629,125.99,6,4
22,6iZ2inFhxOuHKxOlTwwhZq,Next To You (feat. Kane Brown),Next To You (feat. Kane Brown),Loud Luxury,2023-02-24,66,161344,0.737,0.223,0.837,0.0,0.159,0.575,-6.448,0.054,118.998,4,4
23,7g7OshelYRRnOSEMmisJVI,Clap Your Hands,Clap Your Hands,Kungs,2022-02-18,66,189880,0.878,0.0507,0.875,3.42e-05,0.356,0.84,-4.923,0.0658,124.006,1,4
24,1ap4zdsBydWPSXJqDBqtNL,Like You Do,Like You Do,D.O.D,2022-09-30,65,152224,0.69,0.0145,0.847,0.041,0.0777,0.49,-4.565,0.0374,124.015,6,4
25,1TytykMo9zFzNdRbqTxfep,Feels This Good,Every Cloud - Silver Linings,Sigala,2023-03-02,65,190609,0.629,0.0273,0.917,0.0,0.521,0.627,-2.095,0.0964,124.024,6,4
26,5kyJ6sznnWACqHbw65p34Q,Summer In New York,WET TENNIS,Sofi Tukker,2022-04-29,65,158549,0.706,0.397,0.77,1.84e-05,0.209,0.967,-6.224,0.0653,117.075,10,4
27,2sLVs5iX0osogh4jcsAJkv,Danielle (smile on my face),Danielle (smile on my face),Fred again..,2022-09-14,65,201230,0.678,0.00159,0.931,0.0275,0.091,0.346,-5.813,0.0867,130.021,5,4
28,0hJfuyUwtEYMlGgvr3nzz9,Serotonin Moonbeams,Serotonin Moonbeams,The Blessed Madonna,2022-11-11,65,289471,0.817,0.0332,0.876,0.199,0.412,0.671,-7.485,0.046,131.022,8,4
29,4CUX44NA1CPEzd0ibMLQsL,Make Me Feel Good,Make Me Feel Good,Belters Only,2021-11-26,65,197472,0.773,0.0627,0.74,0.00183,0.0829,0.504,-8.169,0.0386,124.014,7,4
30,3wfNiPBrzDwuanE75Ar6pS,Anywhere With You,Anywhere With You,AFROJACK,2021-12-17,65,158807,0.596,0.0696,0.743,2.37e-06,0.202,0.531,-4.149,0.0302,125.883,6,4
31,0L3XCv9i9IHs8cJEVhsJ3J,More Than A Woman - SG's Paradise Edit,More Than A Woman (SG's Paradise Edit),Bee Gees,2021-06-25,65,357936,0.679,0.00469,0.762,0.23,0.0446,0.511,-4.253,0.0316,105.407,10,4
32,6p8uRRGziFLcA3QDvWxEPM,Heaven,Heaven,Dimitri Vegas & Like Mike,2022-04-29,65,178294,0.716,0.00812,0.853,0.000268,0.154,0.593,-3.254,0.03,124.014,9,4
33,1J3C8kdqUckBrTtgttm0AA,Relax My Eyes,The Reset,ANOTR,2022-11-11,65,191053,0.772,0.147,0.535,0.133,0.109,0.913,-11.221,0.034,131.988,10,4
34,2ntTfXxuIi3jlePOKSz26N,Risk It All,Risk It All,Ella Henderson,2021-08-20,64,178064,0.706,0.19,0.914,0.0,0.0886,0.299,-5.668,0.0615,124.03,5,4
35,5PQFmB2xhRkJTUWDKccBoP,You Know What I Need,You Know What I Need,PNAU,2022-12-02,64,170000,0.768,0.0152,0.896,0.0,0.0412,0.829,-3.501,0.0969,109.959,6,4
36,4WIaDYUIlXsHi4yMF596aI,About Damn Time - Purple Disco Machine Remix,About Damn Time (Purple Disco Machine Remix),Lizzo,2022-05-18,64,218476,0.8,0.0531,0.771,0.0,0.229,0.886,-6.638,0.123,118.991,10,4
37,587xXusqiMW9gSXkNK8Zxf,What A Life (feat. Stevie Appleton),What A Life (feat. Stevie Appleton),John Summit,2022-07-29,64,171547,0.677,0.0113,0.732,0.227,0.0978,0.242,-5.028,0.031,126.018,7,4
38,50ZFpw2wS6ERvLmW8TINhq,Beg For You (feat. Rina Sawayama),Beg For You (feat. Rina Sawayama),Charli XCX,2022-01-27,64,168053,0.788,0.223,0.945,2.97e-06,0.115,0.466,-5.091,0.0599,128.036,9,4
39,6y6xhAgZjvxy5kR5rigpY3,Chasing Stars (feat. James Bay),Chasing Stars (feat. James Bay),Alesso,2021-08-20,64,170457,0.594,0.0169,0.64,0.0,0.135,0.492,-6.865,0.033,92.871,10,4
