,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,7gVKcYSlUsJtrG0bbeh1fz,This Too Shall Pass,A World of Color,End of Silence,2018-12-21,0,301766,0.11,0.941,0.184,0.867,0.0889,0.0366,-14.568,0.0334,93.0,8,4
1,5K6HZ4t7rUb2VbZqmBPPfY,Wind Guide You,The Elder Scrolls V: Skyrim: Original Game Soundtrack,Jeremy Soule,2013-01-31,51,545268,0.132,0.899,0.0861,0.811,0.11,0.0359,-24.863,0.0429,71.243,2,5
2,3wnSHCMTtD1fxwOzTc5Gdh,Distant Horizons,The Elder Scrolls V: Skyrim: Original Game Soundtrack,Jeremy Soule,2013-01-31,52,232870,0.0604,0.98,0.0898,0.919,0.0933,0.0347,-22.09,0.0419,52.07,4,4
3,0JNwcPIyy4mykZK6oz3m8n,Among the Giants,39 Seconds,Marcus Warner,2018-12-15,17,290790,0.402,0.914,0.327,0.884,0.0842,0.0385,-12.527,0.0279,93.993,9,4
4,6q1yGIr1b48PZqFc4vwUwI,Forget About Everything,Where the Earth Meets the Sky,Marcus Warner,2019-03-07,20,91874,0.198,0.989,0.172,0.966,0.103,0.17,-20.368,0.0444,116.934,7,4
5,59K5Rc1ct6ffzF49M1m3at,Snow Angels,Unleashed,Two Steps from Hell,2017-09-22,27,165840,0.198,0.982,0.12,0.894,0.131,0.0385,-15.615,0.0355,66.851,0,5
6,2rtFUTZLSQ7cECBXfUOgJe,Far Horizons,The Elder Scrolls V: Skyrim: Original Game Soundtrack,Jeremy Soule,2013-01-31,54,331475,0.0619,0.937,0.172,0.952,0.17,0.0442,-20.773,0.0404,65.409,10,3
7,0lIDOHnoe4RJgm6rzowj6x,Tundra,The Elder Scrolls V: Skyrim: Original Game Soundtrack,Jeremy Soule,2013-01-31,52,229500,0.0727,0.967,0.0502,0.969,0.0757,0.0385,-28.819,0.0401,78.152,10,4
8,5OEXISM55Inhcs4Ea29Iej,Journey's End,The Elder Scrolls V: Skyrim: Original Game Soundtrack,Jeremy Soule,2013-01-31,50,249902,0.125,0.95,0.085,0.958,0.0915,0.038,-25.433,0.0405,71.455,3,3
9,18CctEeOpjEDIAvWM5S7RE,The Streets of Whiterun,The Elder Scrolls V: Skyrim: Original Game Soundtrack,Jeremy Soule,2013-01-31,58,244842,0.0686,0.943,0.186,0.889,0.108,0.0363,-17.679,0.0346,75.481,1,3
