,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,3BkJFWBPdKp7e5HokmXv8N,I LOVE YOU,THE FIRST STEP : CHAPTER TWO,TREASURE,2020-09-18,45,181618,0.727,0.0107,0.687,0.0,0.16,0.416,-6.57,0.0695,130.018,8,4
1,7I0vl97TYZW86qYdgcD1qu,Back Door,IN LIFE,Stray Kids,2020-09-14,1,189286,0.82,0.157,0.842,0.0,0.112,0.653,-3.853,0.272,107.952,7,4
2,3LZWayPP1Os8sNhllJZBOn,넌 BAD 날 울리지마 YOU BAD! DON'T MAKE ME CRY,BAD,MATILDA,2016-10-09,0,189132,0.749,0.00626,0.863,1.14e-05,0.259,0.617,-1.936,0.0575,131.913,2,4
3,3hCWCtOoxku5WfKszgJ2jk,COLOR ME RAD,COLOR ME RAD,D.Holic,2016-07-07,28,213767,0.603,0.00598,0.919,6.99e-06,0.206,0.287,-2.579,0.16,127.988,8,4
4,7kDw5mRoi0Vw7eGZSID5Y5,QUEEN,QUEEN,3YE,2020-02-21,23,213080,0.7,0.00142,0.891,7.22e-05,0.221,0.4,-3.983,0.0467,129.976,6,4
5,5nIjOnMbC0QDMrYFLGx0yV,BOOMBAYAH - Japanese Version,BLACKPINK IN YOUR AREA (Japanese Version),BLACKPINK,2018-12-05,60,240613,0.748,0.0225,0.868,4.85e-06,0.367,0.513,-2.296,0.0533,124.952,5,4
6,6KZdpxLX8r1tGZ2Q7eKIvf,DUMB & DUMBER,DEBUT FULL ALBUM [WELCOME BACK],iKON,2015-12-24,41,241701,0.731,0.0962,0.874,0.0,0.0498,0.443,-4.284,0.082,129.972,5,4
7,5uHl2eYaITSX6xEX8bmaXy,Adios,HUSH,EVERGLOW,2019-08-19,0,189146,0.633,0.000587,0.706,0.0795,0.245,0.399,-5.137,0.0627,128.187,10,4
8,7H1YffYl5eH6y5jqOpVeLT,Say My Name,Say My Name,ANS,2020-01-10,11,196986,0.807,0.0258,0.903,4.32e-05,0.119,0.749,-2.657,0.109,125.071,7,4
9,0qIZ8DEFGrxBXGBbrzjYxA,Sugar Free,And&End,T-ARA,2014-09-11,0,235628,0.657,0.00207,0.867,0.000457,0.117,0.737,-3.95,0.0459,127.987,2,4
10,3zaV4d4pFi6PrbNCUAU60G,넘버나인 - Club Version,Again,T-ARA,2013-10-10,0,226358,0.705,0.0134,0.872,0.0,0.13,0.68,-3.364,0.0367,127.9,1,4
11,1NEMGnylDzJL1yYxcprrRh,Waste It On Me - W&W Remix,Waste It On Me (W&W Remix),Steve Aoki,2018-12-07,29,199691,0.374,0.015,0.914,0.00158,0.815,0.318,-3.76,0.191,128.152,4,4
12,0rNLaGUleZ91DXMxmZNq5v,Fireworks (I'm The One),ZERO : FEVER Part.2,ATEEZ,2021-03-01,63,209574,0.724,0.0419,0.904,4.79e-06,0.163,0.728,-3.815,0.0872,130.036,0,4
13,0ND5revJm7hW9Oz9fhafpH,Sseulaeki,Sseulaeki,Pocket Girls,2017-10-23,17,216866,0.763,0.000197,0.956,0.00199,0.0544,0.844,-3.16,0.038,129.984,9,4
14,1mWyvuv8FLxemLt60D3mT7,Passionate Love 열A-야,SUPA DIVA,Kang xiwon,2019-10-02,11,206875,0.692,0.00819,0.849,0.0,0.0878,0.203,-2.186,0.0468,124.959,1,4
15,1MbkTCswkj6WuOGIbgQrGR,TAM TAM,YOLO,HBY,2019-03-06,10,201625,0.753,0.00736,0.954,1.17e-05,0.0857,0.603,-3.276,0.0807,128.026,11,4
16,1ase4TuncuGSiiz6Bumgrc,Vampire,Vampire,NPI,2015-09-08,1,216804,0.489,0.0196,0.909,0.0,0.194,0.427,-2.657,0.105,94.315,0,3
