,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,51hFuz0vN2FWCaxwRMPqaA,Give It Up,Give It Up,The Good Men,1992-07-02,40,207800,0.847,0.0271,0.865,0.431,0.0556,0.666,-6.736,0.0991,124.847,4,4
1,7MjTPvXSAYB1NyzXLQKsMn,Oh Carolina,Pure Pleasure,Shaggy,1993-01-01,49,190893,0.849,0.485,0.832,0.0,0.343,0.939,-7.83,0.128,124.558,0,4
2,5xzIupBHZs1dDlUq0p663x,Free - Disco 70 Version,Italo House Party (20 Classics),Various Artists,2013-02-19,9,188933,0.728,0.014,0.856,0.671,0.0947,0.713,-11.53,0.0438,128.908,5,4
3,1hQGBdgkacQTelwjFFGuvD,Wanna Get Your Love - Radio Version,Wanna Get Your Love,Jenny Bee,1995-01-20,16,230706,0.67,0.0119,0.881,0.013,0.0725,0.919,-6.752,0.0389,120.035,8,4
4,14ktwBpf27wrlv5MB6qwOM,Send Me An Angel And Set Me Free,The Best Of CB Milton,CB Milton,2010-10-08,24,248706,0.624,0.159,0.844,0.00553,0.181,0.87,-11.665,0.0569,130.0,4,4
5,67Wb4VsAjTuYlJHxdMdzvk,U Got 2 Know - Radio Coffee Mix,Greatest Hits,Cappella,2020-04-30,3,255333,0.68,0.000751,0.97,0.783,0.287,0.854,-7.756,0.0316,131.684,5,4
6,5igLjt2pQ4Q2aiFIrBjuUR,Only With You - Radio Mix,Love Is Not Sex,Captain Hollywood Project,1993-03-05,45,234093,0.642,0.0712,0.984,0.467,0.116,0.893,-7.893,0.0425,128.852,8,4
7,5FpM2PD3JfiLSE03IzaGr7,Move to the Rhythm - Radio Version,Move to the Rhythm,Bass Bumper's,1992,10,205600,0.763,0.0552,0.771,0.00289,0.383,0.908,-12.351,0.0393,129.989,0,4
8,42oKJNnlsnD99XUPVdQunL,Why Don't You,Why Don't You,Rage,1992,5,235666,0.638,0.0299,0.988,4.8e-05,0.34,0.659,-6.513,0.0382,122.901,9,4
9,2P5ynB2OvVc0WIznmE3QKy,Power Of American Natives,90's Top 100 Best Ever,Various Artists,2010-06-07,27,230659,0.71,0.00244,0.683,0.9,0.179,0.56,-10.536,0.0383,134.985,11,4
10,7t020iFDoAjNgc4mjUMBAS,Plastic Dreams - Radio Edit,Plastic Dreams,Jaydee,2011-03-25,45,205050,0.731,0.178,0.575,0.349,0.0693,0.295,-13.088,0.0334,128.819,7,4
11,2470KNl0BwXESfvPCZQbi1,Hell's Party - Dj Ricci Mix,Hell's Party,Glam,1992-01-01,19,359213,0.744,0.00295,0.746,0.744,0.0555,0.755,-10.171,0.0575,129.868,8,4
12,12BbMJsJi65mxneq6c9Lm7,All That She Wants,Happy Nation,Ace of Base,1992-11-16,0,211213,0.707,0.00526,0.628,8.21e-05,0.104,0.87,-9.684,0.0877,187.548,11,4
13,2ahnofp2LbBWDXcJbMaSTu,"What Is Love - 7"" Mix",What Is Love (Remixes),Haddaway,1993-03-22,69,270373,0.683,0.0222,0.772,0.0149,0.203,0.737,-7.907,0.0311,123.871,7,4
14,32x2soGJrUVs5j06RTN1Ev,Oh Boy!,Oh Boy / Dance,Klatsch!,1993-09-14,18,231103,0.732,0.0024,0.961,0.834,0.0828,0.399,-5.055,0.0337,130.843,6,4
15,03VFP3CCsw95YKX7isDhff,Ain't Nothin' to It - 7'' Radio Version,Ain't Nothin' to It,Def Dames Dope,1993,13,261453,0.681,0.101,0.964,8.01e-06,0.0339,0.908,-9.47,0.0417,136.155,10,4
16,1AAwAM9IjTlvi8x10kc2I1,Supermodel (You Better Work),Supermodel of the World,RuPaul,1993-06-08,0,239933,0.792,0.0152,0.562,7.48e-05,0.428,0.592,-11.379,0.0929,126.222,7,4
17,4EK4JdNDagDd8fVqMwf5Jn,All I Want - Radio Mix,Love Is Not Sex,Captain Hollywood Project,1993-03-05,19,225093,0.717,0.102,0.677,0.0794,0.0912,0.267,-12.76,0.0662,109.877,4,4
18,70KRmzjfzklXyHe5UVBF27,Got To Be Special - Radio edit,Got To Be Special,Marcia Johnson,2006-11-21,1,240893,0.667,0.0331,0.763,0.0111,0.154,0.769,-12.703,0.0302,124.999,9,4
19,69MsTGWOtfvHpKIeR7fBa0,Drumattack - Original Mix,Wonka - Tunes From The Chocolate Box,Various Artists,2011-12-20,7,326426,0.745,0.0548,0.856,0.914,0.0481,0.224,-10.778,0.0442,130.856,1,4
20,4t0UsYzmmmZRMTWn77jiGF,Show Me Love,Show Me Love,Robin S,1993-06-15,67,252106,0.811,0.014,0.833,2.06e-05,0.0769,0.567,-4.259,0.153,120.258,5,4
21,7zUiW7f0xt9z8SFQzEU7lm,Harmony - FPI Funky Mix,Harmony,Tc 1993,2014-11-17,2,293693,0.789,0.244,0.926,0.252,0.19,0.822,-6.312,0.0313,129.974,10,4
22,13yTtusKcaCxv1xgXXruBE,One Day - Radio Mix,One Day,Sly!,1993-07-18,3,243666,0.67,0.00148,0.827,0.285,0.329,0.881,-11.835,0.0415,129.841,0,4
23,6hDxjFzTU4uIHYU2pZC73K,Tribal Dance,No Limits,2 Unlimited,1993-05-10,50,219024,0.665,0.0334,0.922,0.0197,0.102,0.744,-14.044,0.0404,130.096,5,4
24,2QzyjSN4WlRHMFfN3r6Ca3,Slave To The Music,Slave To The Music,Twenty 4 Seven,1993,50,244066,0.661,0.000395,0.87,0.00315,0.332,0.973,-10.826,0.0365,131.013,11,4
25,4TiC7eJe4B3lXrjRngQNAD,Pinocchio - Legno Mix,Pinocchio vai!,Pin-occhio,2010-05-26,13,191242,0.489,0.000262,0.942,0.872,0.0729,0.415,-11.606,0.0431,147.653,10,4
26,63qSrkwyVAYCT86CgxGVqr,Keep On Dancing! - Classic Radio Mix,Keep On Dancing!,DJ BoBo,2005-01-01,20,215506,0.585,0.0687,0.938,0.834,0.0875,0.676,-10.601,0.0423,126.018,6,4
27,0Lg4ckCFjFUeyHOeSozcWS,"The Key, The Secret",The Very Best Of,Urban Cookie Collective,2004,56,222666,0.702,0.0759,0.796,0.00253,0.109,0.607,-6.99,0.0315,129.878,10,4
28,4XyhzybDGl2ialXvkztmnR,Faces,No Limits,2 Unlimited,1993-05-10,35,228351,0.589,0.00409,0.953,0.00249,0.339,0.801,-12.375,0.0401,130.016,4,4
29,7gE0gIAIyK8VkOs1B4nKcZ,Dum Da Dum - Radio Version,Nitro (De Originele Soundtrack Van),New Kids,2011-12-02,23,264646,0.94,0.0322,0.959,0.000549,0.288,0.899,-3.323,0.0456,129.627,0,4
30,38wrjn13uK8TY4L7llIjVR,Move - 2006 Remastered Version,Go - The Very Best Of Moby,Moby,2006-10-24,3,218253,0.551,0.000324,0.887,0.29,0.166,0.381,-7.21,0.0345,131.973,9,4
31,7qnEcSOw1LDGGDHwDl3OhF,Luv 4 Luv - Stone's Radio Edit,Luv 4 Luv,Robin S,2009-06-05,29,254360,0.761,0.000253,0.781,0.0205,0.0435,0.921,-6.798,0.0406,117.954,0,4
32,1Vy1afi1OKDnTYsj0HVfcz,Shine On,Making Waves,Sonic Surfers,2010-10-22,5,260053,0.714,0.113,0.945,8.43e-05,0.186,0.817,-7.075,0.0363,128.943,8,4
33,1P6YWCEcn7Jvjm6diwlPwk,Impossible - Radio Edit,Impossible,Captain Hollywood Project,1993-09-17,37,256160,0.536,0.00354,0.795,0.226,0.301,0.71,-12.396,0.0328,134.26,2,4
34,26aj54n9Ov8hoODW2mrryR,Is It Love,Slave To The Music,Twenty 4 Seven,1993,36,237893,0.644,0.0512,0.946,0.0,0.479,0.819,-7.74,0.0565,140.008,5,4
35,1dnxPW7hz7ESOXOm2DlXwq,U Got Me Up - Dajae- Underground Mix '93,It's Time,Cajmere,2010-07-26,25,354083,0.934,0.000387,0.812,0.607,0.0627,0.518,-8.767,0.0708,124.982,2,4
36,0EMMsmptLezcQjnJ1A4DLd,Don't Go (Station Edit),Don't Go,Boobytrax,1993,11,220626,0.663,0.00703,0.919,0.025,0.0758,0.834,-8.328,0.0493,136.965,10,4
37,6TXuyHI88fio5ER8Q2C3Fw,Bumped,Hits!,Right Said Fred,2010,0,199558,0.602,0.000605,0.869,1.29e-05,0.199,0.794,-7.489,0.043,105.863,5,4
38,7KijWxMbFXkqpiDstf6YE0,El Gallinero - Tambalea Mix,El Gallinero (Remix),Ramirez,1993-01-01,29,286213,0.731,0.0181,0.916,0.538,0.166,0.834,-8.278,0.0452,147.864,6,4
39,3hwfyucLVV7xmgCMyYpARB,Somebody dance with me - Radio Mix,Somebody dance with me,DJ BoBo,2005-01-01,30,214600,0.678,0.0474,0.891,0.0123,0.202,0.608,-11.948,0.0472,124.026,6,4
40,79zbbqdbNXtRY6govKU8Z9,U Got 2 Let The Music,U got 2 know album,Cappella,2009-11-01,51,330213,0.671,0.0246,0.811,0.803,0.139,0.506,-13.104,0.0343,135.074,9,4
41,4Fb2QGtRXgEQwVIuF8gKzk,Dancin' On A Higher Ground - Original Radio Edit,Dancin' On A Higher Ground,Fun Da Mental,2012-06-26,15,269613,0.725,0.00159,0.719,0.036,0.223,0.924,-13.122,0.0406,133.929,9,4
42,3wxhVi1vWHnZ32m8Ke0MDl,One Love - Edit,Music for the Jilted Generation,The Prodigy,1994-04-04,37,233573,0.619,0.0686,0.948,0.514,0.231,0.11,-6.982,0.042,148.014,6,4
43,6UknzvbzUShflIQH7SS150,Havin' a Good Time,It's a Girl,Def Dames Dope,1993,14,228560,0.596,0.0015,0.945,0.00019,0.0609,0.977,-10.417,0.0337,140.047,7,4
44,4cqiLvFRDuV8ClE61eMmZx,Never Alone,Dreams,2 Brothers On The 4th Floor,1994-01-01,56,351026,0.705,0.171,0.866,0.000162,0.645,0.816,-5.036,0.0563,127.986,8,4
