,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,5mGZw3iGsAhtJTFwY6Xm9V,Almost blue,Almost blue,Ionn Blignault,2020-12-09,29,453773,0.35,0.894,0.107,0.191,0.14,0.0965,-18.693,0.0328,113.431,0,4
1,32YZWXNhOd70F19BZSU73w,I Fall In Love Too Easily,Seven Steps To Heaven (Expanded Edition),Miles Davis,1963-10,42,403826,0.494,0.567,0.162,0.000117,0.109,0.179,-15.041,0.0362,107.687,5,4
2,1LX2CtpOwnPphgZTCl05Ot,Misty,Bob Brookmeyer & Friends,Bob Brookmeyer,1965,34,317933,0.377,0.985,0.0839,0.21,0.104,0.15,-17.9,0.0356,54.348,3,4
3,0oeS7EgVQJGSHWBfNv33Wu,My Heart Stood Still,Essential Masters,Kenny Burrell,2009-07-14,11,313800,0.57,0.982,0.0613,0.83,0.144,0.169,-21.498,0.0389,81.292,7,4
4,3Bg95VYGzwfLiFWwjPKfQy,September Song,The Complete Legendary Sessions,Chet Baker,2011-09-19,17,185586,0.335,0.968,0.00263,0.94,0.0949,0.0773,-30.368,0.0389,111.177,0,4
5,2FHQRDUjgEOpbJY4jQM8sL,You'd Be So Nice To Come Home To,Chet [Keepnews Collection],Chet Baker,1959,0,273493,0.571,0.954,0.0148,0.698,0.132,0.238,-23.176,0.033,87.493,9,4
6,08NmfIWwPJfhAwP09CendL,I Fall In Love Too Easily,Moon Beams,Bill Evans Trio,1962,26,160466,0.506,0.956,0.098,0.732,0.116,0.109,-17.801,0.0365,103.136,9,4
7,4eVUPMhqGFcmxo6cjv9KqA,Time Moves Slow,IV,BADBADNOTGOOD,2016-07-08,0,273864,0.621,0.471,0.376,0.0289,0.102,0.322,-10.832,0.0552,139.842,2,4
8,4mraRJO2iZA5WQ5dxlSQx9,Heather,Crosswinds,Billy Cobham,1974,35,520533,0.351,0.964,0.0079,0.944,0.0949,0.041,-27.866,0.0323,132.805,10,4
9,2tEDGg3M8C6wdpglmIQySS,La Llorona,I Long To See You,Charles Lloyd,2016-01-15,27,360053,0.426,0.662,0.243,0.731,0.0891,0.0691,-12.033,0.0284,100.381,9,3
10,1J9iVCaEriyoMXpj2XszhU,When Sunny Gets Blue,Today And Tomorrow,McCoy Tyner,1964,58,282320,0.427,0.843,0.114,0.863,0.0966,0.114,-22.546,0.0509,60.484,2,4
11,1qTNMWo0Al8AfAX6aPGo6k,Darn That Dream,Undercurrent,Bill Evans,1962,42,309666,0.369,0.994,0.0151,0.93,0.0829,0.126,-29.499,0.0458,78.867,7,3
12,1HEGcv63IZ7TPncpVKdVdN,My One And Only Love,John Coltrane & Johnny Hartman,John Coltrane,1963,0,294306,0.466,0.984,0.0718,0.000931,0.107,0.196,-17.999,0.0375,121.769,0,4
13,4inG0t9AOOdgon84KceUIS,Conciliation,Finding My Way Home,Yazz Ahmed,2011-08-01,13,321933,0.387,0.956,0.0709,0.928,0.0945,0.0837,-17.588,0.0316,104.624,2,4
14,4ol2UyMTiklHVujAWg02nE,I Got It Bad And That Ain't Good,Night Train (Expanded Edition),Oscar Peterson Trio,1963-01-01,59,306226,0.488,0.971,0.0527,0.911,0.0882,0.193,-27.331,0.0478,49.689,5,4
15,0TLD1RLFqPmpVR5ATWdMz6,Is That All There Is?,Is That All There Is?,Peggy Lee,1969-01-01,40,262000,0.458,0.863,0.0899,0.0,0.137,0.386,-18.824,0.0362,109.574,10,4
16,6PdC87pNlAOBZFRVhk2c3Q,A Taste of Honey - Live,Greatest Hits Series--Paul Desmond,Paul Desmond,1998-08-10,44,271000,0.492,0.918,0.151,0.00353,0.11,0.215,-18.015,0.0421,124.925,5,3
17,2rom4SeDK0KrYFueSWmImv,Misty,Walkman Jazz: Erroll Garner,Erroll Garner,1987-01-01,26,165800,0.439,0.931,0.177,0.799,0.13,0.134,-16.789,0.0421,96.204,10,4
18,5ALMF4Z6a9VUl66LHVHjBl,A Time for Us,"Late Night Tales: Belle and Sebastian, Vol. 2",Belle and Sebastian,2012-03-26,43,195053,0.333,0.704,0.448,0.677,0.141,0.369,-14.122,0.0384,82.554,9,4
19,6QlkHjQmo2YncQN5MQXgPZ,It Never Entered My Mind,Workin',Miles Davis Quintet,1959,54,323186,0.476,0.892,0.217,6.09e-05,0.0966,0.121,-10.75,0.0308,116.079,8,4
20,6fGqxkBPqoIq4SQ3mtbHMI,What Are You Doing The Rest Of Your Life?,From Left To Right (Expanded Edition),Bill Evans,1971-02-01,46,245000,0.331,0.993,0.144,0.914,0.104,0.0394,-16.773,0.0324,64.601,9,4
