,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,3Qpj345VRGBSwuOSwFgoQI,Romeo and Juliet Suite No. 2 Montague and Capulets (Excerpt) Op. 64ter,Romeo and Juliet: Suite No. 2 Montague and Capulets (Excerpt) Op. 64ter,Sergei Prokofiev,2024-10-09,47,236374,0.271,0.764,0.33,0.317,0.239,0.161,-8.34,0.0341,81.634,9,4
1,35xaDoyCRAi1JqpwDT8P1x,William Tell: Overture (Finale),William Tell: Overture (Finale),Gioachino Rossini,2024-10-09,43,213170,0.42,0.537,0.751,0.947,0.255,0.513,-7.822,0.0687,146.346,4,4
2,6JyihARD2zGUa4uB4NfQiv,"Swan Lake (Suite), Op. 20a, TH.219: I. Scene - Swan Theme",Tchaikovsky: Swan Lake Suites,Pyotr Ilyich Tchaikovsky,2024-03-02,56,177246,0.0904,0.883,0.241,0.884,0.111,0.0548,-13.845,0.035,72.111,4,3
3,76BfKpZqnuNCZtbN8N3s4C,"Concerto No. 4 in F Minor, Op. 8, RV 297, ""L'inverno"" (Winter): I. Allegro Non Molto",Vivaldi: The Four Seasons,Antonio Vivaldi,2009-07-01,54,211198,0.412,0.861,0.25,0.771,0.0912,0.235,-12.613,0.0466,146.939,5,4
4,2ygeBLTP9uu3OW3VTulD8N,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Originals Beethoven Box,Ludwig van Beethoven,1995-01-01,60,442000,0.247,0.957,0.298,0.9,0.0943,0.157,-15.661,0.0395,97.784,0,4
5,5fPJEybjtk8fjQzEEUeSPx,Gnossienne: No. 1 (Arr. for Viola and Harp),Gnossienne: No. 1 (Arr. for Viola and Harp),Carrie Frey,2023-03-31,51,216028,0.285,0.973,0.0719,0.933,0.112,0.0529,-19.419,0.0404,91.804,5,4
6,35cWKZdNsSKxrcLz2oPDRm,"Peer Gynt Suite No. 1, Op. 46: IV. In the Hall of the Mountain King",Mythical Horizons,The City of Prague Philharmonic Orchestra,2023-06-29,47,176738,0.468,0.845,0.155,0.324,0.0838,0.352,-13.959,0.0609,89.456,11,4
7,4quC8GgYCGt7umJpINBkCf,"Hungarian Dance No. 5 in G Minor, WoO 1",Brahms: Hungarian Dance No.5,Johannes Brahms,2024-03-29,50,187281,0.367,0.701,0.159,0.438,0.236,0.493,-14.049,0.039,124.476,7,4
8,2NCZGul65RgVTCIcQA94TE,"Radetzky March, Op. 228","Radetzky March, Op. 228",Johann Strauss I,2024-10-09,39,136805,0.6,0.792,0.564,0.0282,0.365,0.874,-9.394,0.0359,111.351,9,4
9,3IKzcR0MRKVJ5QRjX0EU4m,"Swan Lake (Suite), Op. 20a, TH.219: 3. Scene - Danse de Petits Cygnes",Tchaikovsky: Swan Lake Suites,Pyotr Ilyich Tchaikovsky,2024-03-02,39,92143,0.547,0.967,0.252,0.966,0.144,0.833,-13.305,0.1,204.474,6,4
