,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,48UPSzbZjgc449aqz8bxox,Californication,Californication (Deluxe Edition),Red Hot Chili Peppers,1999-06-08,82,329733,0.592,0.0021,0.767,0.00165,0.127,0.328,-2.788,0.027,96.483,9,4
1,1xsYj84j7hUDDnTTerGWlH,Dream On,Aerosmith,Aerosmith,1973-01-05,80,267596,0.392,0.397,0.476,0.000163,0.309,0.234,-7.583,0.0249,78.031,1,4
2,4LnCmKS6wJTckR1zvvH8PM,Other People,Lost on You,LP,2016-12-09,0,244945,0.55,0.0854,0.677,0.0,0.144,0.492,-4.679,0.0259,90.993,11,4
3,0KGIbrNYktDXYyHopcDI2L,Make Me Wanna Die,Light Me Up,The Pretty Reckless,2010-01-01,60,235653,0.495,0.00227,0.905,3.29e-06,0.142,0.215,-3.768,0.0653,97.106,8,4
4,6nRQHhMINUm8rjGgpdkBYH,My Medicine - Single Version,Light Me Up,The Pretty Reckless,2010-01-01,49,193986,0.427,0.00297,0.907,0.0,0.671,0.412,-2.267,0.197,150.134,10,4
5,0sTlGEld0h8kIPZaKDYUf4,Notion,Notion,The Rare Occasions,2021-12-02,79,195120,0.309,0.0673,0.883,0.00111,0.0849,0.312,-3.825,0.0808,159.488,9,4
6,7EkWXAI1wn8Ii883ecd9xr,Freaks,Freaks,Surf Curse,2021-05-15,84,147062,0.345,3.84e-05,0.941,0.633,0.0511,0.407,-9.918,0.0466,179.626,9,4
7,5sPKAEb7afrIMtdqEnI6H6,Young Girl A,Alive,Siinamota,2015-03-04,69,221500,0.629,0.0169,0.804,0.000497,0.177,0.294,-5.987,0.103,130.006,2,4
8,1JgknGBbrfmEHeOZH051SS,ecstacy (slowed),ecstacy (slowed),SUICIDAL-IDOL,2023-06-06,76,119120,0.551,0.0173,0.677,0.0,0.381,0.195,-7.311,0.0665,106.414,2,4
9,64PgpLHuQK3UJ5qZ875Vei,Save That Shit,"Come Over When You're Sober, Pt. 1",Lil Peep,2017-08-15,21,231546,0.534,0.0262,0.583,0.0,0.421,0.145,-8.672,0.0288,106.0,2,4
10,4YQgOgIElFtEvwJQ9ArWL7,FΛSHION,FΛSHION,Britney Manson,2023-08-11,12,146531,0.752,0.000915,0.647,0.00167,0.706,0.253,-6.258,0.0316,119.999,10,4
11,1GVhLEJGfOIpdSZJnUxN5O,swear to god,ANTIHERO,convolk,2020-04-17,42,129708,0.644,0.152,0.714,0.00358,0.106,0.279,-6.897,0.0524,162.998,0,4
12,58zsLZPvfflaiIbNWoA22O,Human,Human (Deluxe),Rag'n'Bone Man,2017-02-10,80,200186,0.602,0.393,0.707,0.0,0.165,0.554,-4.097,0.302,75.087,9,4
13,7yBEKiv1LmO7GM4rOejhcW,SPIT IN MY FACE!,SPIT IN MY FACE!,ThxSoMch,2022-11-01,0,147874,0.73,0.0464,0.785,0.0227,0.111,0.652,-6.512,0.055,94.107,8,4
14,5K9tfeoiztw94dyWzF39jq,moment,moment,Vierre Cloud,2019-12-19,73,129543,0.544,0.0426,0.855,0.157,0.167,0.517,-7.461,0.093,171.349,6,4
15,70FceppUZq9dQz1mDPcHcs,Death Is No More,Death Is No More,BLESSED MANE,2021-01-25,68,138500,0.642,0.000158,0.86,0.847,0.251,0.373,-2.467,0.0395,100.023,0,4
16,0okeszwLGIWjKwcIunhn81,Unrequited Love,Unrequited Love,Massiimassio,2020-08-12,0,186264,0.649,0.637,0.67,5.18e-05,0.107,0.354,-5.963,0.195,124.924,3,4
17,5mBVnbAEIbvuqJbanvsYJo,romeo and juliet,"you asked, i supplied",hahapoison,1999-12-31,32,149027,0.568,0.375,0.722,3.3e-05,0.117,0.173,-8.222,0.0316,144.977,0,4
18,1aXV8GrmQLvgoFtBPERP7E,Jealous,Jealous,Eyedress,2019-12-06,83,122338,0.474,0.00491,0.921,0.85,0.476,0.696,-10.431,0.0457,93.01,9,4
19,4NgherJDfCXWBZBYheM4jK,WASTE,DISORDER,KXLLSWXTCH,2021-10-29,75,120428,0.627,0.859,0.123,0.00105,0.149,0.11,-14.411,0.0316,131.883,7,4
20,1CPSRRXGTQVgc1DIRWmLcg,Wasted (Nightcore) [Bass Boosted],Wasted,Murkish,2022-07-28,28,180192,0.599,0.00185,0.851,0.064,0.156,0.436,-2.952,0.0456,94.226,9,4
21,0EF1EE8zusg3Y869e56JFd,Nothing's New,Good God!,Rio Romeo,2022-09-23,78,211000,0.421,0.863,0.394,4.74e-06,0.0984,0.399,-8.312,0.0277,96.192,11,3
22,47kmL7wc4XojdpxJ7ZR6ql,No Forget Her,Memories,BLESSED MANE,2021-02-22,0,226303,0.657,0.00822,0.658,0.784,0.173,0.225,-4.819,0.0317,139.992,4,4
23,0lSj0NVDG8UzdSzyhEs8vP,room,room,IVOXYGEN,2020-12-08,0,216701,0.506,0.00373,0.492,0.0,0.104,0.0749,-10.136,0.0281,82.486,2,4
24,6vuEjpJFDnQfgSv2HYyC3h,X,X,Three AM Fuxk,2018-07-01,42,169038,0.523,0.437,0.391,0.492,0.205,0.0378,-11.769,0.03,109.952,4,4
25,42Eoe65syR9qWzmdEdgyok,I'll Just Die Anyway,I'll Just Die Anyway,Yunggoth✰,2017-11-06,29,271268,0.377,0.234,0.768,0.000915,0.184,0.112,-7.427,0.0484,100.075,9,4
26,7kXNWZbHd8ojf6H08XMdtC,Young Kid,Young Kid,IVOXYGEN,2020-02-28,0,209057,0.784,0.00911,0.547,0.0,0.198,0.421,-7.077,0.155,150.031,10,4
27,4yyX0nJqMpqaubcGdGsxx9,ODIUM,UNIVERSE OF THE PAST,LXST CXNTURY,2019-09-23,60,166579,0.708,0.163,0.781,0.885,0.392,0.345,-8.267,0.0638,74.997,11,4
28,6LhCQJQtieE7KUtvyofLFO,Amnesia,Radical,LXST CXNTURY,2020-08-12,48,175454,0.413,0.00297,0.803,0.858,0.162,0.22,-7.394,0.151,95.79,1,4
29,0zCgWGmDF0aih5qexATyBn,After Dark,Time,Mr.Kitty,2014-08-08,2,257147,0.579,0.0673,0.601,0.414,0.0778,0.0392,-10.492,0.0322,140.019,8,4
30,5UGAXwbA17bUC0K9uquGY2,Antarctica,Antarctica,$uicideboy$,2016-01-26,77,126850,0.715,0.553,0.633,4.45e-06,0.0905,0.319,-6.869,0.0804,105.945,2,5
31,58leguITNtMvVHSuNJzERV,DISTORTION,UNIVERSE OF THE PAST,LXST CXNTURY,2019-09-23,50,159420,0.607,8.48e-05,0.913,0.00554,0.229,0.229,-3.304,0.0668,150.031,7,4
32,6rYvJfCYM2crNXlrtJPWJ3,I Love/Hate Myself,I Love/Hate Myself,hahapoison,2018-10-27,43,161928,0.42,0.674,0.383,0.0144,0.127,0.192,-14.971,0.0505,122.682,7,5
33,3ZmVB2Nxeuaj2n97spf8EN,SPACED OUT,SPACED OUT,IVOXYGEN,2020-02-28,0,174581,0.626,0.0921,0.52,0.0,0.254,0.295,-8.05,0.0287,124.05,9,4
34,3dYD57lRAUcMHufyqn9GcI,Take Me To Church,Hozier,Hozier,2014-09-19,82,241688,0.575,0.637,0.664,0.0,0.116,0.437,-5.303,0.0481,129.071,4,4
35,34YndJMzrNeO2bdvMhg7hn,escape,escape,IVOXYGEN,2021-04-12,0,184754,0.521,0.44,0.339,0.0933,0.0942,0.116,-13.588,0.0437,77.074,11,4
36,70nXBc3MIwKvKcHEb8qSZV,There Are No Friends,Looking for Infinity,Rodionis,2019-02-08,39,119096,0.877,0.211,0.429,0.89,0.0996,0.446,-11.423,0.0597,131.035,1,4
37,4UXQlm2yCdPkbbgQyNd11p,I Don't Know,I Don't Know,KIDR,2020-06-17,36,249392,0.847,0.303,0.355,0.0,0.132,0.456,-13.128,0.21,139.991,0,4
38,7kW8KlDA7A2Fie3IY299FX,Goodnight,Multilinear,Razegod,2020-10-10,36,126956,0.707,0.021,0.85,0.236,0.639,0.383,-4.246,0.0703,138.021,7,4
39,5HUJ5QRgaShNQwcUqxemAX,On The Moon,On The Moon,IVOXYGEN,2019-09-11,0,205168,0.65,0.115,0.824,0.0,0.118,0.239,-5.774,0.0347,149.987,10,4
40,66ZbM1Jw9Vd7kf8nAfnBYr,Say My Name,Say My Name,hahapoison,2020-01-10,5,148285,0.614,0.0525,0.828,0.000206,0.105,0.462,-8.813,0.0786,139.96,5,4
41,4kbFZu6VJ2JO86Rk6flnJG,Runway/Runaway,Runway/Runaway,hahapoison,2021-06-09,5,118400,0.36,7.01e-05,0.679,0.0,0.159,0.235,-10.596,0.0793,76.631,7,4
42,7u8QHFxAb1pPgga1CyJu2H,Highway Love,Highway Love,IVOXYGEN,2020-05-21,0,200177,0.655,0.241,0.548,5.15e-05,0.103,0.204,-8.01,0.0397,144.024,7,4
43,2kxZnZBMfHbinyLaSDvP4Z,Sorry,SOLOS 2,Lil Bo Weep,2018-01-15,34,152647,0.507,0.354,0.322,0.00184,0.428,0.0353,-8.926,0.046,81.996,4,4
44,67p1TOIAhOVKNzReNCitya,Idkwhatimdoing,Idkwhatimdoing,throwmance,2019-03-15,29,249896,0.652,0.0858,0.679,0.0,0.113,0.069,-6.847,0.0321,97.028,5,4
45,23V5SeHanwL6PlqyJ99dH8,"No I Don't Want, Just Anyone",Our Remedy,Unclenathannn,2018-03-19,0,123950,0.525,0.559,0.399,0.00728,0.193,0.29,-11.526,0.126,131.747,0,4
46,3JvKfv6T31zO0ini8iNItO,Another Love,Long Way Down (Deluxe),Tom Odell,2013-06-24,87,244360,0.445,0.695,0.537,1.65e-05,0.0944,0.131,-8.532,0.04,122.769,4,4
47,1eCEdpv8vWDHTw0sdJEySA,Appreciate Life,Appreciate Life,Depressiveperson,2022-06-10,0,135824,0.433,0.0257,0.637,0.0,0.185,0.357,-5.152,0.0263,144.897,7,4
48,2XynYulas10Wmef4Gqrxw9,Hate.,Hate.,ThxSoMch,2023-02-14,68,134769,0.644,0.00161,0.834,0.0412,0.0878,0.744,-7.497,0.0358,94.922,11,4
49,6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),Popular (Music from the HBO Original Series),The Weeknd,2023-06-02,83,215466,0.854,0.0517,0.674,8.53e-05,0.509,0.848,-6.23,0.184,99.022,1,4
50,3qaMprRWLGggArD14diXYz,Faster n Harder,Faster n Harder,6arelyhuman,2024-02-28,67,123428,0.475,0.0145,0.983,0.0,0.224,0.478,-1.83,0.198,139.966,7,4
51,7ANKWDStVvxzYfxLrtmKYw,Hurt,Hurt,Maikubi,2023-01-13,47,127440,0.499,0.000149,0.902,0.00138,0.252,0.407,-3.846,0.0644,124.934,1,4
52,0kbBU3ey5IkKwPvDHXJOry,The Lost Soul Down X Lost Soul,The Lost Soul Down X Lost Soul,NBSPLV,2023-08-18,75,151348,0.779,0.166,0.475,0.908,0.107,0.439,-10.388,0.0287,90.035,0,4
53,4mMEvkDeY56be4l7Itb5aZ,SMOKE IT OFF!,SMOKE IT OFF!,Lumi Athena,2023-07-31,71,117528,0.429,0.00318,0.822,7.58e-06,0.559,0.29,-7.071,0.0455,148.3,8,4
54,0kYMwaQWABTkFff8AZjmYI,Hayloft II,Inside (Deluxe),Mother Mother,2022-01-28,73,215040,0.326,0.0044,0.866,7.37e-06,0.0912,0.172,-4.541,0.101,178.181,9,4
55,0i5Lv2pnFSqZopukoniHcv,party addict,party addict,kets4eki,2023-05-01,65,125861,0.528,0.00138,0.964,0.0,0.301,0.224,-2.225,0.0729,137.477,9,4
56,4jvhvr8QBAlC85ovP8zTph,All Night,All Night,mishlawi,2018-03-02,45,174554,0.759,0.139,0.763,0.0,0.29,0.782,-5.852,0.0857,141.969,9,4
57,4NZrZgrRoR4GwR7flWOXRI,Go Fuck Yourself,First Steps,Two Feet,2016-07-29,71,129599,0.765,0.571,0.327,0.0479,0.0787,0.292,-8.029,0.277,74.931,6,4
58,4IA6pgGRmqfxWGAfyZ8cgR,Verbatim,Touch Up,Mother Mother,2007-05-08,72,168320,0.827,0.309,0.58,0.0,0.148,0.491,-6.809,0.327,78.007,7,4
59,0lP4HYLmvowOKdsQ7CVkuq,The Kill,A Beautiful Lie,Thirty Seconds To Mars,2005-01-01,77,231533,0.179,0.0014,0.912,0.000294,0.582,0.289,-3.881,0.0791,182.99,4,3
60,0F4FejjWi3bf5vGOkuQwPS,On My Own,On My Own,Darci,2018-05-09,72,171692,0.767,0.0324,0.593,4.5e-06,0.0878,0.579,-5.901,0.0413,130.007,4,4
61,6JAfKIASRQQMyf1sA4cBq1,Counting Sheep,Embracing Me - EP,SAFIA,2016-03-04,49,154186,0.775,0.0102,0.469,2.99e-06,0.122,0.644,-7.363,0.0322,94.972,10,4
62,4ntKnZnztFdovszJpIoeVO,Fake Faces,Fake Faces,Felip,2024-04-05,52,174236,0.689,0.113,0.851,0.0,0.0667,0.963,-4.295,0.135,153.051,10,4
63,7sByrWJrZbNWF1CGjIBj1j,If Ever You're in My Arms Again,Love Duets,Toni Gonzaga,2009-02-01,20,256372,0.343,0.115,0.582,0.0,0.09,0.175,-4.663,0.0247,95.446,1,4
64,7zrD2rhcvGEZiMMo9RuW6P,We Belong,We Belong,Sneaky Sound System,2019-07-19,48,139680,0.59,0.00456,0.996,0.865,0.287,0.681,-4.407,0.051,125.024,7,4
65,3TIsaxDoRyxVcPfPRKN8Y2,Miss You Like Crazy,Chapter 1: A New Beginning,The Moffatts,1998-05-18,56,229200,0.568,0.174,0.522,0.0,0.189,0.49,-8.077,0.0247,77.033,7,4
66,3rwioq6hSNjwynK8rVPCma,kaibigan,kaibigan,justin,2024-07-19,57,206584,0.493,0.266,0.336,2.22e-05,0.134,0.435,-9.58,0.04,83.228,0,4
67,1rVKpBqXtRvGTVUNDnt1fy,Creepin',Creepin',Levent Geiger,2023-11-10,55,199645,0.524,0.734,0.444,0.0,0.15,0.236,-9.119,0.0274,107.971,1,4
68,0FezhHZVmDYXvk8jAr2fpU,Lights & Music,In Ghost Colours (UK Version Delux),Cut Copy,2008-01-01,52,279373,0.606,0.0696,0.935,0.152,0.408,0.631,-4.389,0.0417,125.997,10,4
69,5lvYFJ8QPBBHV2YM1gp5tG,Give Thanks,Give Thanks,Janella Salvador,2014,44,235586,0.472,0.8,0.382,0.0,0.323,0.121,-5.937,0.0266,82.935,8,4
70,41iJtEHisXYp0Cmv1Q2hA1,World Of Our Love,Diplomatic Immunity,Client Liaison,2017-11-17,38,270688,0.85,0.0318,0.876,0.000179,0.0989,0.615,-7.262,0.048,117.028,0,4
71,6MWsotxoAROqOuzk7rMc0z,You,Jona,Jona,2017-02-27,49,266560,0.34,0.284,0.413,0.0,0.0913,0.143,-7.17,0.0321,139.114,9,4
72,38JyGtFVoT3uabw6qVWuOZ,Pangarap Kong Pangarap Mo,Zephanie,Zephanie,2022-01-07,35,174030,0.673,0.295,0.726,1.66e-05,0.219,0.425,-5.402,0.0679,77.006,3,4
73,5IO87wqMV7UPuRAgaILfsK,Mirrors,Mirrors,Lone Tusker,2023-10-20,54,193636,0.653,0.12,0.632,0.0103,0.347,0.277,-8.05,0.054,131.993,0,4
74,1ag9VUoU406Hm1S9wYlR0o,Sunrise (Won't Get Lost) - Tommy Trash Radio Edit,Sunrise (Won't Get Lost),The Aston Shuffle,2012-10-12,40,202677,0.6,0.0857,0.949,0.000108,0.0896,0.466,-2.73,0.133,127.021,5,4
75,33b2BLaLK67gArAZL5vffh,Bakit 'Di Totohanin,Carol,Carol Banawa,1997-11-03,51,245554,0.512,0.723,0.317,0.00816,0.151,0.188,-14.827,0.0264,159.51,4,4
76,7pWko9IDNpYbdCxrmPU8Va,AMAKABOGERA,MPOWERED,Maymay Entrata,2021-11-19,42,180533,0.681,0.112,0.942,0.0,0.501,0.399,-3.998,0.147,105.084,9,4
77,1l7Ooq59lsQvXv6C1Xeidx,Calypso Beach,Dare,Northeast Party House,2016-09-09,47,233169,0.398,0.0175,0.678,0.3,0.129,0.379,-7.562,0.0377,122.022,8,4
78,7rtSsC5zLPTO0R767vBqRq,Bakit Pa,The Story of Jessa Zaragoza,Jessa Zaragoza,1999,47,269866,0.628,0.605,0.42,0.0,0.0914,0.381,-9.926,0.0275,129.971,1,4
79,7dcSBhPIMO96sdf8hCQAaL,White Dress,White Dress,Set Mo,2015-04-10,44,210324,0.7,0.0509,0.629,0.0235,0.203,0.377,-6.876,0.0315,119.98,7,4
80,573latfTMO7SpGtStVrQx5,Harlem,A Bad Girl In Harlem,New Politics,2013-05-17,53,163626,0.603,0.00189,0.952,0.000445,0.317,0.588,-3.699,0.0947,133.97,6,4
81,4UmwioUddRXq9Y5RBXhhyV,BINI - ft. Aiah Arceta,BINI (ft. Aiah Arceta),Jeremy G,2024-06-28,41,244357,0.674,0.0945,0.907,0.0,0.378,0.564,-2.644,0.043,101.042,0,4
82,4BYO8KU39k40yaRAwDgyUs,Chivalry Is Dead,Chivalry Is Dead,Trevor Wesley,2016-11-04,48,208161,0.484,0.0471,0.732,0.0,0.0755,0.644,-4.892,0.0705,127.313,6,4
83,1YR3v8aBVpKP1rP2KqQaKZ,The Past,Songs Rediscovered,Jed Madela,2004-01-01,50,214933,0.699,0.65,0.388,0.0,0.0736,0.204,-7.922,0.0269,125.934,7,4
84,3O4DdB07AoPwvy1fsIToiT,Forever Right Now,Forever Right Now,Conor Matthews,2018-10-26,56,141828,0.753,0.139,0.679,0.0,0.148,0.688,-4.792,0.0569,117.961,5,4
85,2OuU7OGHIJtd2RQFI09kro,5&4&3&2&,Ampersand,Leaf in a Forest,2024-07-30,36,223000,0.562,0.306,0.519,0.638,0.0868,0.742,-9.098,0.1,180.095,9,4
86,0arPxj5WufzbjEy1uPn7GP,Casualties,What If,Ethan Dufault,2021-01-29,44,222083,0.647,0.846,0.306,0.0,0.1,0.348,-10.392,0.0321,143.932,3,4
87,1fdo42PnT5XrsPV6FZ1Fd2,Laging Tapat,Jolina,Jolina Magdangal,1999-01-04,47,212639,0.626,0.749,0.361,0.0,0.0887,0.17,-7.648,0.0278,123.971,0,4
88,27cx5oMwSLKWxe5oddCtai,Only Me and You,Habang May Buhay,Donna Cruz,2002,47,307000,0.49,0.707,0.266,0.0,0.164,0.114,-16.544,0.0315,121.863,9,4
89,58rSMgjsjINUMUzHCyPYts,Ocean,Ocean,ConKi,2022-02-10,56,155072,0.738,0.229,0.723,0.0034,0.305,0.285,-6.691,0.0402,119.985,7,4
90,0p7bJgDktmZlqsgNFBnYFU,On The Other Side (feat. Max Billion),On The Other Side (feat. Max Billion),just Fede,2024-08-02,55,155923,0.394,0.354,0.546,0.0,0.1,0.299,-8.048,0.0366,76.629,8,4
91,1ymVJxxBnFgNM9ocMzVqSg,Rain on Me,Rain on Me,FIXL,2023-11-02,49,139024,0.65,0.585,0.778,2.28e-05,0.133,0.494,-6.102,0.0365,123.102,1,4
92,64p2tRd4zsBsJUucEnfWrX,edsa,edsa,PABLO,2024-05-24,55,208283,0.558,0.00975,0.733,0.0,0.269,0.381,-7.144,0.0419,142.095,4,4
93,434qlyPFJd5FWpJ72eB3VL,Pizza Guy,Pizza Guy / Show Me,Touch Sensitive,2014-04-19,48,349413,0.629,0.00212,0.81,0.64,0.264,0.288,-5.1,0.0264,105.996,4,4
94,3QEMqBZ6ZVRdlCaN6QeaeD,What Comes Next,What Comes Next,LENNY,2024-09-06,38,183650,0.473,0.0414,0.53,0.0,0.353,0.238,-8.117,0.0869,181.996,7,4
95,4z6ipP14TOsL9K9U7vEH2A,Love U Like That,Love U Like That,ay-Mill,2024-02-23,44,160800,0.592,0.0631,0.673,0.0,0.441,0.265,-9.193,0.0406,100.058,10,4
96,0ZSaXFpNU4MTxb69rdoNyl,Not My Man,Not My Man,Jillian Rossi,2024-07-19,48,194848,0.433,0.169,0.658,3.92e-05,0.427,0.426,-6.523,0.146,197.833,5,4
97,60LAae4EzXrJ2BLwvfMfJH,Never Go Wrong,Good Times Go,Nicky Youre,2023-06-09,51,155962,0.585,0.0687,0.835,0.0,0.275,0.93,-6.453,0.113,164.988,5,4
98,33DMX9LvLFdgbVaZKCD8t4,Musika,Musika,G22,2023-09-25,44,237769,0.62,0.302,0.534,0.0,0.395,0.374,-4.651,0.0304,134.86,2,3
99,5hFD05PfvZUPbJ5JtwpEab,A Better Day,A Better Day,DENNICK,2024-03-14,50,157881,0.687,0.142,0.674,0.0,0.17,0.519,-6.617,0.108,118.357,11,4
100,5CUhlmR4kOYfHY9tNs8LtA,If I'm Not in Love with You,Living the Dream,Jennylyn Mercado,2004,47,224771,0.448,0.832,0.216,0.0,0.192,0.106,-12.988,0.0339,119.306,7,4
