,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,7DbdUf8aHSYoliSjO6LZv6,"Sex, Drugs, Etc.",Chit Chat,Beach Weather,2016-11-04,74,196784,0.572,0.013,0.839,0.00976,0.522,0.465,-5.083,0.0377,143.969,4,4
1,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,AM,Arctic Monkeys,2013-09-09,90,183956,0.464,0.136,0.417,0.022,0.0974,0.479,-9.345,0.0256,67.528,0,4
2,2AYEOC02WLhUiOoaig2SEH,Out of My League,More Than Just a Dream (Deluxe Edition),Fitz and The Tantrums,2013-05-07,73,209386,0.545,0.0387,0.968,0.00325,0.331,0.527,-3.553,0.0853,169.965,9,4
3,5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,The New Abnormal,The Strokes,2020-04-10,78,309053,0.593,0.0113,0.749,0.106,0.314,0.649,-5.67,0.0475,164.959,5,4
4,6QeYSvYqYUsfBzsApbjDHO,Cigarettes out the Window,Who Really Cares,TV Girl,2016-02-25,84,198960,0.625,0.12,0.659,0.0,0.17,0.594,-5.669,0.0337,113.551,0,4
5,2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Melophobia,Cage The Elephant,2013-10-08,79,208760,0.636,0.0807,0.676,0.0,0.0831,0.273,-3.442,0.0263,113.98,2,4
6,0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,87,290616,0.369,0.0205,0.468,0.566,0.109,0.18,-9.013,0.0273,94.434,5,4
7,1FWsomP9StpCcXNWmJk8Cl,K.,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,82,320030,0.454,0.14,0.401,0.837,0.136,0.319,-10.251,0.0264,93.703,3,4
8,3p4hRhMcb6ch8OLtATMaLw,Cry,Cry,Cigarettes After Sex,2019-10-25,84,256799,0.408,0.758,0.398,0.654,0.112,0.165,-10.448,0.0277,142.834,7,4
9,0SpkyS1Q4MD8GaVcP5YjT4,Sunsetz,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,83,215150,0.41,0.0561,0.48,0.814,0.0972,0.129,-9.417,0.0294,75.303,9,4
10,4TVsTKQVeC99tCjfRKLeob,white tee,crybaby,Lil Peep,2016-06-10,15,132226,0.8,0.285,0.526,0.0,0.0717,0.729,-8.909,0.0416,149.991,11,4
11,186bb3vDk1yzNK5u3e7h7O,your favorite dress,CASTLES II,Lil Peep,2021-07-02,1,177386,0.494,0.0814,0.628,0.0,0.111,0.101,-7.615,0.0541,129.966,7,3
12,64PgpLHuQK3UJ5qZ875Vei,Save That Shit,"Come Over When You're Sober, Pt. 1",Lil Peep,2017-08-15,21,231546,0.534,0.0262,0.583,0.0,0.421,0.145,-8.672,0.0288,106.0,2,4
13,6Ox1rvlwEpB49drasQm6RF,Star Shopping,Star Shopping,Lil Peep,2015,23,142000,0.538,0.0946,0.471,0.0185,0.116,0.307,-9.84,0.0955,93.07,4,4
14,2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,Dopamine,BØRNS,2015-10-16,76,218106,0.611,0.00543,0.797,0.00137,0.26,0.518,-7.627,0.0533,120.041,6,4
15,0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,"Shame, Shame (Deluxe Edition)",Dr. Dog,2010-11-02,77,234800,0.454,0.132,0.82,0.000969,0.115,0.575,-4.193,0.0567,166.303,2,4
16,0JIMT9gzLIIz0esKLyjbKf,Telephones,Changes,Vacations,2018,80,212432,0.526,0.00283,0.447,0.0301,0.109,0.183,-9.268,0.0274,74.995,2,4
17,6dBUzqjtbnIa1TwYbyw5CM,Lovers Rock,French Exit,TV Girl,2014-06-05,86,213920,0.559,7.53e-06,0.871,0.00545,0.096,0.572,-5.338,0.0397,104.97,5,4
18,5RBOcBpJXaNnHCGViJmYhh,The Perfect Girl,The Perfect Girl,Mareux,2021-12-08,76,194423,0.485,0.000872,0.89,0.818,0.102,0.258,-5.992,0.0911,128.881,8,4
19,7sIx70dGj3VBiHWr0KZXfD,Blondie,Wild Heart,Current Joys,2013-01-02,75,194733,0.776,0.622,0.626,0.899,0.086,0.866,-12.561,0.0396,122.072,6,4
20,0mflMxspEfB0VbI1kyLiAv,Stick Season,Stick Season,Noah Kahan,2022-10-14,88,182346,0.664,0.799,0.5,0.0,0.0966,0.801,-6.935,0.0651,117.896,9,4
21,0b6xZk9f96N77BfmYWnQNC,Mama's Boy,Sunburn,Dominic Fike,2023-07-07,72,155721,0.807,0.15,0.354,0.713,0.186,0.602,-7.554,0.0321,78.964,9,4
22,58ge6dfP91o9oXMzq3XkIS,505,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,79,253586,0.52,0.00237,0.852,5.79e-05,0.0733,0.234,-5.866,0.0543,140.267,0,4
23,1170VohRSx6GwE6QDCHPPH,Kilby Girl,When We Were Friends,The Backseat Lovers,2019-01-27,71,282205,0.329,0.0578,0.444,0.0352,0.113,0.225,-9.973,0.0417,162.279,1,4
24,7EkWXAI1wn8Ii883ecd9xr,Freaks,Freaks,Surf Curse,2021-05-15,84,147062,0.345,3.84e-05,0.941,0.633,0.0511,0.407,-9.918,0.0466,179.626,9,4
25,1Ph96WpdjNlwD6iKRE2Xa3,More Than Friends,More Than Friends,Aidan Bissett,2020-09-26,61,183012,0.559,0.58,0.655,0.000155,0.124,0.667,-6.792,0.051,160.016,6,4
26,0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Strange Trails,Lord Huron,2015-04-07,78,208211,0.545,0.969,0.366,0.267,0.641,0.1,-9.51,0.0378,86.997,2,3
27,1A3tuE6ti9qoZDwB3LB0t2,I Think I Like When It Rains,Locals 2,WILLIS,2017-06-12,69,278293,0.622,0.0401,0.455,0.0,0.0957,0.274,-7.116,0.0282,124.412,9,4
28,7MfNoHB8JRNbSQ8P3eAfMQ,T-Shirt Weather,Young Chasers (Deluxe),Circa Waves,2015-03-30,60,192120,0.421,0.00145,0.95,1.1e-05,0.245,0.472,-4.603,0.0662,160.02,4,4
29,3EaJDYHA0KnX88JvDhL9oa,Dark Red,Dark Red,Steve Lacy,2017-02-20,85,173104,0.603,0.446,0.784,8.32e-06,0.119,0.769,-4.023,0.062,172.041,6,4
30,7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,2018-11-02,82,153000,0.551,0.186,0.881,0.0791,0.152,0.387,-6.099,0.0542,88.036,7,4
31,6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,we fell in love in october / October Passed Me By,girl in red,2018-11-21,86,184153,0.566,0.113,0.366,0.181,0.155,0.237,-12.808,0.028,129.96,7,4
32,3pyyGVqWvRMq43qtJBzxe0,Kids,Kids,Current Joys,2015-03-08,74,269142,0.828,0.508,0.66,0.403,0.0755,0.904,-9.669,0.0337,113.45,6,4
