,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,2vdBo4ALPYbHRUPKgtE5iC,ghostin,"thank u, next",Ariana Grande,2019-02-08,64,271466,0.29,0.418,0.364,1.89e-05,0.185,0.11,-8.295,0.0293,103.684,9,4
1,3NbTQ8ZbHU6MSEVUFAVCJ9,better off,Sweetener,Ariana Grande,2018-08-17,61,171333,0.597,0.216,0.524,0.0,0.112,0.0549,-7.247,0.0537,92.568,11,4
2,1TEL6MlSSVLSdhOSddidlJ,needy,"thank u, next",Ariana Grande,2019-02-08,68,171573,0.647,0.778,0.309,7.31e-06,0.202,0.195,-7.948,0.0367,87.046,7,4
3,5A7CwBNDUhvLWuSU5oJEh3,Moonlight,Dangerous Woman,Ariana Grande,2016-04-01,59,202360,0.633,0.42,0.412,3.57e-06,0.048,0.214,-7.339,0.0284,102.215,9,3
4,14kYOiFVPb7E7NfFbqhdln,goodnight n go,Sweetener,Ariana Grande,2018-08-17,65,189506,0.708,0.0217,0.454,0.0,0.073,0.24,-7.07,0.0395,110.963,1,4
5,1UujO43qVZnWObydH4MLT5,Thinking Bout You,Dangerous Woman,Ariana Grande,2016-04-01,55,200400,0.507,0.0152,0.696,0.000821,0.121,0.406,-6.027,0.0621,102.983,11,4
6,4rwqrKdwlFWJ6LvPYaOtgn,Quit (feat. Ariana Grande),9,Cashmere Cat,2017-04-28,61,258188,0.44,0.105,0.413,3.4e-05,0.0997,0.141,-7.365,0.0407,86.911,0,3
7,4T652DlATVHe0jdLKaN3Bw,in my head,"thank u, next",Ariana Grande,2019-02-08,65,222946,0.662,0.173,0.6,0.000137,0.109,0.331,-6.403,0.0704,134.972,0,4
8,3wFLWP0FcIqHK1wb1CPthQ,fake smile,"thank u, next",Ariana Grande,2019-02-08,60,208880,0.45,0.329,0.619,0.0,0.319,0.427,-7.412,0.373,83.221,9,4
9,39LmTF9RgyakzSYX8txrow,imagine,"thank u, next",Ariana Grande,2019-02-08,65,212266,0.729,0.378,0.476,0.0,0.12,0.368,-4.985,0.0363,62.519,8,3
10,7E1jVNoWuemqUryI4FxsVD,off the table (with The Weeknd),Positions,Ariana Grande,2020-10-30,61,239949,0.411,0.519,0.522,0.0,0.398,0.382,-7.295,0.0981,88.332,0,1
11,1IVnvJN9oC3pDYv9qpAnj7,needy - live,k bye for now (swt live),Ariana Grande,2019-12-23,42,174294,0.317,0.699,0.474,0.0,0.945,0.318,-6.314,0.0661,76.592,7,4
12,6WikCGNUbXFmXoLre7vjeW,Touch It,Dangerous Woman,Ariana Grande,2016-04-01,58,260000,0.536,0.0303,0.694,0.0,0.183,0.291,-4.369,0.0332,100.906,7,4
13,14gkWVFMwdxBMyqBw1wmIg,safety net (feat. Ty Dolla $ign),Positions,Ariana Grande,2020-10-30,64,208457,0.552,0.0703,0.599,0.0,0.0986,0.0916,-5.75,0.0404,161.884,1,4
14,7xoUc6faLbCqZO6fQEYprd,One Last Time,My Everything (Deluxe),Ariana Grande,2014-08-22,82,197266,0.628,0.093,0.593,1.65e-06,0.096,0.104,-5.036,0.0323,125.025,8,4
15,442j8VxaB60dWf9cBFuX5w,Almost Is Never Enough,Yours Truly,Ariana Grande,2013-01-01,65,327773,0.324,0.825,0.327,0.0,0.101,0.334,-7.494,0.0409,81.328,2,4
16,7JmIjOsRish3vYBSLTytEC,Tattooed Heart,Yours Truly,Ariana Grande,2013-01-01,59,194706,0.535,0.414,0.519,0.0,0.142,0.32,-4.161,0.0273,72.06,7,4
17,5lvnGiTAH9BVlJLHc0DXZz,Just A Little Bit Of Your Heart,My Everything (Deluxe),Ariana Grande,2014-08-22,58,232586,0.44,0.692,0.323,0.0,0.103,0.158,-5.957,0.0281,77.986,9,4
18,4eumFsTnduH3zRfaASoAPs,My Everything,My Everything (Deluxe),Ariana Grande,2014-08-22,62,168520,0.462,0.88,0.265,0.0,0.131,0.419,-5.307,0.0294,106.357,11,3
19,4OafepJy2teCjYJbvFE60J,breathin,Sweetener,Ariana Grande,2018-08-17,68,198160,0.568,0.0211,0.656,1.37e-05,0.213,0.364,-5.413,0.0433,100.049,8,4
20,71NBvIYtWygMmp7XgQXbvz,Met Him Last Night,Met Him Last Night,Demi Lovato,2021-04-01,39,204631,0.538,0.22,0.512,0.0,0.101,0.12,-4.548,0.0262,144.978,4,4
21,0v2LUO8oTHnkjQ8MmKuXyk,raindrops (an angel cried),Sweetener,Ariana Grande,2018-08-17,56,37640,0.336,0.942,0.231,0.0,0.188,0.429,-6.217,0.0497,168.685,1,5
22,0WdR2AyLW1Drd3OUdwezM0,everytime,Sweetener,Ariana Grande,2018-08-17,70,172106,0.71,0.186,0.614,0.0,0.0974,0.658,-6.757,0.0431,148.152,10,4
23,3UoULw70kMsiVXxW0L3A33,pov,Positions,Ariana Grande,2020-10-30,71,201882,0.487,0.36,0.534,0.0,0.1,0.173,-5.664,0.0555,131.798,0,4
24,2yueE1lZ8V8HX1deAFA5MF,Somewhere Over The Rainbow - Live From Manchester,Somewhere Over The Rainbow (Live From Manchester),Ariana Grande,2017-06-06,40,272026,0.333,0.716,0.328,4.01e-05,0.3,0.0743,-9.39,0.0346,121.109,0,4
