,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,7MnW39mkRfm6ygw9gKxDp9,F.N.T.,Great Divide,Semisonic,1996-01-01,46,209960,0.537,0.000184,0.773,0.00492,0.099,0.647,-6.954,0.0256,99.823,11,4
1,0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,Back from the Edge,James Arthur,2016-10-28,76,246880,0.696,0.308,0.543,0.0,0.0939,0.479,-6.164,0.0489,107.969,11,4
2,6JAfKIASRQQMyf1sA4cBq1,Counting Sheep,Embracing Me - EP,SAFIA,2016-03-04,49,154186,0.775,0.0102,0.469,2.99e-06,0.122,0.644,-7.363,0.0322,94.972,10,4
3,4ntKnZnztFdovszJpIoeVO,Fake Faces,Fake Faces,Felip,2024-04-05,52,174236,0.689,0.113,0.851,0.0,0.0667,0.963,-4.295,0.135,153.051,10,4
4,7sByrWJrZbNWF1CGjIBj1j,If Ever You're in My Arms Again,Love Duets,Toni Gonzaga,2009-02-01,20,256372,0.343,0.115,0.582,0.0,0.09,0.175,-4.663,0.0247,95.446,1,4
5,7zrD2rhcvGEZiMMo9RuW6P,We Belong,We Belong,Sneaky Sound System,2019-07-19,48,139680,0.59,0.00456,0.996,0.865,0.287,0.681,-4.407,0.051,125.024,7,4
6,3TIsaxDoRyxVcPfPRKN8Y2,Miss You Like Crazy,Chapter 1: A New Beginning,The Moffatts,1998-05-18,56,229200,0.568,0.174,0.522,0.0,0.189,0.49,-8.077,0.0247,77.033,7,4
7,3rwioq6hSNjwynK8rVPCma,kaibigan,kaibigan,justin,2024-07-19,57,206584,0.493,0.266,0.336,2.22e-05,0.134,0.435,-9.58,0.04,83.228,0,4
8,1rVKpBqXtRvGTVUNDnt1fy,Creepin',Creepin',Levent Geiger,2023-11-10,55,199645,0.524,0.734,0.444,0.0,0.15,0.236,-9.119,0.0274,107.971,1,4
9,0FezhHZVmDYXvk8jAr2fpU,Lights & Music,In Ghost Colours (UK Version Delux),Cut Copy,2008-01-01,52,279373,0.606,0.0696,0.935,0.152,0.408,0.631,-4.389,0.0417,125.997,10,4
10,5lvYFJ8QPBBHV2YM1gp5tG,Give Thanks,Give Thanks,Janella Salvador,2014,44,235586,0.472,0.8,0.382,0.0,0.323,0.121,-5.937,0.0266,82.935,8,4
11,41iJtEHisXYp0Cmv1Q2hA1,World Of Our Love,Diplomatic Immunity,Client Liaison,2017-11-17,38,270688,0.85,0.0318,0.876,0.000179,0.0989,0.615,-7.262,0.048,117.028,0,4
12,6MWsotxoAROqOuzk7rMc0z,You,Jona,Jona,2017-02-27,49,266560,0.34,0.284,0.413,0.0,0.0913,0.143,-7.17,0.0321,139.114,9,4
13,38JyGtFVoT3uabw6qVWuOZ,Pangarap Kong Pangarap Mo,Zephanie,Zephanie,2022-01-07,35,174030,0.673,0.295,0.726,1.66e-05,0.219,0.425,-5.402,0.0679,77.006,3,4
14,5IO87wqMV7UPuRAgaILfsK,Mirrors,Mirrors,Lone Tusker,2023-10-20,54,193636,0.653,0.12,0.632,0.0103,0.347,0.277,-8.05,0.054,131.993,0,4
15,1ag9VUoU406Hm1S9wYlR0o,Sunrise (Won't Get Lost) - Tommy Trash Radio Edit,Sunrise (Won't Get Lost),The Aston Shuffle,2012-10-12,40,202677,0.6,0.0857,0.949,0.000108,0.0896,0.466,-2.73,0.133,127.021,5,4
16,33b2BLaLK67gArAZL5vffh,Bakit 'Di Totohanin,Carol,Carol Banawa,1997-11-03,51,245554,0.512,0.723,0.317,0.00816,0.151,0.188,-14.827,0.0264,159.51,4,4
17,7pWko9IDNpYbdCxrmPU8Va,AMAKABOGERA,MPOWERED,Maymay Entrata,2021-11-19,42,180533,0.681,0.112,0.942,0.0,0.501,0.399,-3.998,0.147,105.084,9,4
18,1l7Ooq59lsQvXv6C1Xeidx,Calypso Beach,Dare,Northeast Party House,2016-09-09,47,233169,0.398,0.0175,0.678,0.3,0.129,0.379,-7.562,0.0377,122.022,8,4
19,7rtSsC5zLPTO0R767vBqRq,Bakit Pa,The Story of Jessa Zaragoza,Jessa Zaragoza,1999,47,269866,0.628,0.605,0.42,0.0,0.0914,0.381,-9.926,0.0275,129.971,1,4
20,7dcSBhPIMO96sdf8hCQAaL,White Dress,White Dress,Set Mo,2015-04-10,44,210324,0.7,0.0509,0.629,0.0235,0.203,0.377,-6.876,0.0315,119.98,7,4
21,573latfTMO7SpGtStVrQx5,Harlem,A Bad Girl In Harlem,New Politics,2013-05-17,53,163626,0.603,0.00189,0.952,0.000445,0.317,0.588,-3.699,0.0947,133.97,6,4
22,4UmwioUddRXq9Y5RBXhhyV,BINI - ft. Aiah Arceta,BINI (ft. Aiah Arceta),Jeremy G,2024-06-28,41,244357,0.674,0.0945,0.907,0.0,0.378,0.564,-2.644,0.043,101.042,0,4
23,4BYO8KU39k40yaRAwDgyUs,Chivalry Is Dead,Chivalry Is Dead,Trevor Wesley,2016-11-04,48,208161,0.484,0.0471,0.732,0.0,0.0755,0.644,-4.892,0.0705,127.313,6,4
24,1YR3v8aBVpKP1rP2KqQaKZ,The Past,Songs Rediscovered,Jed Madela,2004-01-01,50,214933,0.699,0.65,0.388,0.0,0.0736,0.204,-7.922,0.0269,125.934,7,4
25,3O4DdB07AoPwvy1fsIToiT,Forever Right Now,Forever Right Now,Conor Matthews,2018-10-26,56,141828,0.753,0.139,0.679,0.0,0.148,0.688,-4.792,0.0569,117.961,5,4
26,2OuU7OGHIJtd2RQFI09kro,5&4&3&2&,Ampersand,Leaf in a Forest,2024-07-30,36,223000,0.562,0.306,0.519,0.638,0.0868,0.742,-9.098,0.1,180.095,9,4
27,0arPxj5WufzbjEy1uPn7GP,Casualties,What If,Ethan Dufault,2021-01-29,44,222083,0.647,0.846,0.306,0.0,0.1,0.348,-10.392,0.0321,143.932,3,4
28,1fdo42PnT5XrsPV6FZ1Fd2,Laging Tapat,Jolina,Jolina Magdangal,1999-01-04,47,212639,0.626,0.749,0.361,0.0,0.0887,0.17,-7.648,0.0278,123.971,0,4
29,27cx5oMwSLKWxe5oddCtai,Only Me and You,Habang May Buhay,Donna Cruz,2002,47,307000,0.49,0.707,0.266,0.0,0.164,0.114,-16.544,0.0315,121.863,9,4
30,58rSMgjsjINUMUzHCyPYts,Ocean,Ocean,ConKi,2022-02-10,56,155072,0.738,0.229,0.723,0.0034,0.305,0.285,-6.691,0.0402,119.985,7,4
31,0p7bJgDktmZlqsgNFBnYFU,On The Other Side (feat. Max Billion),On The Other Side (feat. Max Billion),just Fede,2024-08-02,55,155923,0.394,0.354,0.546,0.0,0.1,0.299,-8.048,0.0366,76.629,8,4
32,1ymVJxxBnFgNM9ocMzVqSg,Rain on Me,Rain on Me,FIXL,2023-11-02,49,139024,0.65,0.585,0.778,2.28e-05,0.133,0.494,-6.102,0.0365,123.102,1,4
33,64p2tRd4zsBsJUucEnfWrX,edsa,edsa,PABLO,2024-05-24,55,208283,0.558,0.00975,0.733,0.0,0.269,0.381,-7.144,0.0419,142.095,4,4
34,434qlyPFJd5FWpJ72eB3VL,Pizza Guy,Pizza Guy / Show Me,Touch Sensitive,2014-04-19,48,349413,0.629,0.00212,0.81,0.64,0.264,0.288,-5.1,0.0264,105.996,4,4
35,3QEMqBZ6ZVRdlCaN6QeaeD,What Comes Next,What Comes Next,LENNY,2024-09-06,38,183650,0.473,0.0414,0.53,0.0,0.353,0.238,-8.117,0.0869,181.996,7,4
